DATE,LEVEL,SECTION,Unnamed: 3,LOCATION,SAMPLE TYPE,DISTANCE FROM PEG(m),DIRECTION,PEG ID,DEPTH (m),FROM,TO,SAMPLE WIDTH,SAMPLE ID,AU,STOPE .AV,SAMPLER,GEOTECH,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,is_qaqc,ID
2025-07-01,6L,W15,B,CON-DRV,FLCH,3.0,East,W15B_OP,1,0,1.0,1,MM879447,3.77,4.420000000000001,,,,6L_W15,,,False,6L_W15_B_CON-DRV_East
2025-07-01,6L,W15,B,CON-DRV,FLCH,3.0,East,W15B_OP,,1,2.0,1,MM879448,2.7,4.420000000000001,,,,_,,,False,6L_W15_B_CON-DRV_East
2025-07-01,6L,W15,B,CON-DRV,FLCH,3.0,East,W15B_OP,,2,3.0,1,MM879449,6.79,4.420000000000001,,,,_,,,False,6L_W15_B_CON-DRV_East
2025-07-01,6L,W15,B,CON-DRV,FLCH,3.0,East,W15B_OP,FDUP,,,0,MM879450,5.27,4.420000000000001,,,,_,,,True,6L_W15_B_CON-DRV_East
2025-07-01,6L,W1,A,SBL2,FLCH,2.0,West,W1A_OP,9.5,0,1.0,1,MM879451,0.91,1.6114285714285717,,,,6L_W1,,,False,6L_W1_A_SBL2_West
2025-07-01,6L,W1,A,SBL2,FLCH,2.0,West,W1A_OP,,1,2.0,1,MM879452,3.99,1.6114285714285717,,,,_,,,False,6L_W1_A_SBL2_West
2025-07-01,6L,W1,A,SBL2,FLCH,2.0,West,W1A_OP,,2,3.0,1,MM879453,1.37,1.6114285714285717,,,,_,,,False,6L_W1_A_SBL2_West
2025-07-01,6L,W1,A,SBL2,FLCH,2.0,West,W1A_OP,,3,4.0,1,MM879454,0.15,1.6114285714285717,,,,_,,,False,6L_W1_A_SBL2_West
2025-07-01,6L,W1,A,SBL2,FLCH,2.0,West,W1A_OP,,4,5.0,1,MM879456,0.77,1.6114285714285717,,,,_,,,False,6L_W1_A_SBL2_West
2025-07-01,6L,W1,A,SBL2,FLCH,2.0,West,W1A_OP,,5,6.0,1,MM879457,2.4,1.6114285714285717,,,,_,,,False,6L_W1_A_SBL2_West
2025-07-01,6L,W1,A,SBL2,FLCH,2.0,West,W1A_OP,,6,7.0,1,MM879458,1.69,1.6114285714285717,,,,_,,,False,6L_W1_A_SBL2_West
2025-07-01,6L,W4,A,SBL2,FLCH,3.0,East,W4A_OP,6,0,1.0,1,MM879459,3.68,4.133333333333334,,,,6L_W4,,,False,6L_W4_A_SBL2_East
2025-07-01,6L,W4,A,SBL2,FLCH,3.0,East,W4A_OP,,1,2.0,1,MM879460,0.16,4.133333333333334,,,,_,,,False,6L_W4_A_SBL2_East
2025-07-01,6L,W4,A,SBL2,FLCH,3.0,East,W4A_OP,,2,3.0,1,MM879461,2.68,4.133333333333334,,,,_,,,False,6L_W4_A_SBL2_East
2025-07-01,6L,W4,A,SBL2,FLCH,3.0,East,W4A_OP,,3,4.0,1,MM879462,2.87,4.133333333333334,,,,_,,,False,6L_W4_A_SBL2_East
2025-07-01,6L,W4,A,SBL2,FLCH,3.0,East,W4A_OP,,4,5.0,1,MM879463,8.8,4.133333333333334,,,,_,,,False,6L_W4_A_SBL2_East
2025-07-01,6L,W4,A,SBL2,FLCH,3.0,East,W4A_OP,,5,6.2,1.2000000000000002,MM879464,6.61,4.133333333333334,,,,_,,,False,6L_W4_A_SBL2_East
2025-07-01,6L,W4,A,SBL2,FLCH,3.0,East,W4A_OP,UGGS011755,,,0,MM879465,1.61,4.133333333333334,,,,_,,,True,6L_W4_A_SBL2_East
2025-07-01,6L,W2,A,SBL2,FLCH,2.0,West,W2A_OP,5,0,1.0,1,MM879466,8.77,3.18125,,,,6L_W2,,,False,6L_W2_A_SBL2_West
2025-07-01,6L,W2,A,SBL2,FLCH,2.0,West,W2A_OP,,1,2.0,1,MM879467,5.29,3.18125,,,,_,,,False,6L_W2_A_SBL2_West
2025-07-01,6L,W2,A,SBL2,FLCH,2.0,West,W2A_OP,,2,3.0,1,MM879468,1.43,3.18125,,,,_,,,False,6L_W2_A_SBL2_West
2025-07-01,6L,W2,A,SBL2,FLCH,2.0,West,W2A_OP,,3,4.3,1.2999999999999998,MM879469,2.56,3.18125,,,,_,,,False,6L_W2_A_SBL2_West
2025-07-01,6L,W2,A,SBL2,FLCH,2.0,West,W2A_OP,FDUP,,,0,MM879470,1.61,3.18125,,,,_,,,True,6L_W2_A_SBL2_West
2025-07-01,6L,W2,A,SBL2,FLCH,1.0,East,W2A_OP,5,0,1.0,1,MM879471,0.64,,,,,6L_W2,,,False,6L_W2_A_SBL2_East
2025-07-01,6L,W2,A,SBL2,FLCH,1.0,East,W2A_OP,,1,2.0,1,MM879472,2.03,,,,,_,,,False,6L_W2_A_SBL2_East
2025-07-01,6L,W2,A,SBL2,FLCH,1.0,East,W2A_OP,,2,3.0,1,MM879473,3.03,,,,,_,,,False,6L_W2_A_SBL2_East
2025-07-01,6L,W2,A,SBL2,FLCH,1.0,East,W2A_OP,,3,4.0,1,MM879474,1.7,,,,,_,,,False,6L_W2_A_SBL2_East
2025-07-01,6L,W2,A,SBL2,FLCH,1.0,East,W2A_OP,BLANK,,,0,MM879475,0,4.1675,,,,_,,,True,6L_W2_A_SBL2_East
2025-07-01,6L,E1,B,SBL2,FLCH,1.0,East,E1B_OP,23,0,1.0,1,MM879476,3.2,,,,,6L_E1,,,False,6L_E1_B_SBL2_East
2025-07-01,6L,E1,B,SBL2,FLCH,1.0,East,E1B_OP,,1,2.0,1,MM879477,2.54,,,,,_,,,False,6L_E1_B_SBL2_East
