Date,ID,Stoping_Actual_t,Stoping_Actual_gpt,Stoping_Actual_kgs,Stoping_Budget_t,Stoping_Budget_gpt,Stoping_Budget_kgs
2025-07-01,1L W28 STOPE,,,,70.0,1.350467289719626,0.09453271028037381
2025-07-01,3L_W23A STOPE,77.0,0.57,0.04388999999999999,70.0,1.9859813084112148,0.13901869158878502
2025-07-01,3L_W23B STOPE,78.0,1.1,0.08580000000000002,70.0,1.9859813084112148,0.13901869158878502
2025-07-01,3L_W24B STOPE,40.0,0.19,0.0076,70.0,1.8271028037383175,0.12789719626168222
2025-07-01,4L_W26 STOPE,70.0,1.56,0.1092,70.0,1.9462616822429906,0.13623831775700931
2025-07-01,5L_W11 STOPE,,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-01,5L_W8 STOPE,38.0,,,,,
2025-07-01,6L_E1 STOPE,40.0,4.17,0.1668,70.0,3.137850467289719,0.21964953271028034
2025-07-01,6L_W1 STOPE,80.0,1.61,0.1288,70.0,3.137850467289719,0.21964953271028034
2025-07-01,6L_W14 STOPE,,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-01,6L_W15_STOPE,80.0,4.42,0.3536,70.0,1.7476635514018692,0.12233644859813084
2025-07-01,6L_W2 STOPE,166.0,,0.52788,105.0,,0.24189252336448594
2025-07-01,6L_W3 STOPE,56.0,1.85,0.10360000000000001,70.0,2.9,0.203
2025-07-01,6L_W4 STOPE,70.0,4.13,0.28909999999999997,70.0,2.3831775700934577,0.16682242990654203
2025-07-01,6L_W8 STOPE,,,,35.0,2.462616822429906,0.08619158878504672
2025-07-02,1L W28 STOPE,79.0,1.14,0.09005999999999999,70.0,1.350467289719626,0.09453271028037381
2025-07-02,3L_W23A STOPE,79.0,3.28,0.25912,70.0,1.9859813084112148,0.13901869158878502
2025-07-02,3L_W23B STOPE,36.0,1.1,0.0396,70.0,1.9859813084112148,0.13901869158878502
2025-07-02,3L_W24B STOPE,79.0,2.16,0.17064000000000001,70.0,1.8271028037383175,0.12789719626168222
2025-07-02,4L_W26 STOPE,85.0,2.02,0.1717,70.0,1.9462616822429906,0.13623831775700931
2025-07-02,5L_W11 STOPE,,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-02,5L_W8 STOPE,44.0,,,,,
