DATE,ID,LEVEL,SECTION,Column_D,LOCATION,DIRECTION,SAMPLE_TYPE,PEG_ID,AU_avg,AU_count,Sample_count
2025-08-01,2L_W23_SBL1_East,2L,W23,,SBL1,East,FLCH,W23_OP,1.9511,9,9
2025-08-01,3L_W23_SBL2_South,3L,W23,,SBL2,South,SCH,W23_OP,1.016,5,5
2025-08-01,4L_W25_SBL1_North,4L,W25,,SBL1,North,FLCH,W25_OP,4.1217,6,6
2025-08-01,5L_W12_A_CON-DRV_South,5L,W12,A,CON-DRV,South,SCH,W12A_OP,1.458,5,5
2025-08-01,5L_W8_SBL1_East,5L,W8,,SBL1,East,FLCH,W8_OP,3.8767,9,9
2025-08-01,6L_E1_B_SBL1_East,6L,E1,B,SBL1,East,FLCH,E1_OP,1.7095,2,2
2025-08-01,6L_W15_A_SBL1_West,6L,W15,A,SBL1,West,SCH,W15A_OP,1.977,4,4
2025-08-01,6L_W15_A_SBL2_West,6L,W15,A,SBL2,West,SCH,W15A_OP,0.8133,3,3
2025-08-01,6L_W18_B_CON-DRV_West,6L,W18,B,CON-DRV,West,SCH,W18B_OP,1.16,3,3
2025-08-01,6L_W2_SBL2_West,6L,W2,,SBL2,West,FLCH,W2_OP,9.714,6,6
2025-08-01,6L_W4_SBL2_East,6L,W4,,SBL2,East,FLCH,W4_OP,4.5783,8,8
2025-08-01,6L_W8_C_SBL2_East,6L,W8,C,SBL2,East,FLCH,W8C_OP,2.3925,4,4
2025-08-02,2L_W23_SBL1_East,2L,W23,,SBL1,East,FLCH,W23_OP,1.4132,5,5
2025-08-02,3L_W23_SBL2_South,3L,W23,,SBL2,South,SCH,W23_OP,1.6132,5,5
2025-08-02,4L_W25_SBL1_North,4L,W25,,SBL1,North,FLCH,W25_OP,2.5183,6,6
2025-08-02,5L_W12_CON-DRV_South,5L,W12,,CON-DRV,South,SCH,W12_OP,5.5579,10,10
2025-08-02,5L_W8_SBL1_East,5L,W8,,SBL1,East,FLCH,W8-OP,7.4867,9,9
2025-08-02,6L_E1_B_SBL1_East,6L,E1,B,SBL1,East,FLCH,E1_OP,3.565,6,6
2025-08-02,6L_W15_A_SBL1_West,6L,W15,A,SBL1,West,FLCH,W15A_OP,0.982,5,5
2025-08-02,6L_W15_A_SBL2_West,6L,W15,A,SBL2,West,SCH,W15A_OP,0.85,3,3
2025-08-02,6L_W2_SBL2_West,6L,W2,,SBL2,West,FLCH,W2_OP,5.9556,9,9
2025-08-02,6L_W4_SBL2_East,6L,W4,,SBL2,East,FLCH,W4_OP,3.3288,8,8
2025-08-02,6L_W8_C_SBL2_East,6L,W8,C,SBL2,East,FLCH,W8C_OP,1.2723,4,4
2025-08-03,6L_W15_SBL1_West,6L,W15,,SBL1,West,SCH,W15_OP,1.075,6,6
2025-08-03,6L_W18_B_CON-DRV_East,6L,W18,B,CON-DRV,East,GRABS,W18B_OP,2.65,5,5
2025-08-03,6L_W18_B_CON-DRV_North,6L,W18,B,CON-DRV,North,SLGE,W18B_OP,1.0793,15,15
2025-08-04,2L_W23_SBL1_East,2L,W23,,SBL1,East,FLCH,W23_OP,3.6116,8,8
2025-08-04,3L_W23_SBL2_South,3L,W23,,SBL2,South,FLCH,W23_OP,1.3625,4,4
2025-08-04,4L_W25_SBL1_North,4L,W25,,SBL1,North,FLCH,W25_OP,3.3833,3,4
2025-08-04,5L_W12_C_CON-DRV_South,5L,W12,C,CON-DRV,South,FLCH,W12_OP,2.9756,9,12
2025-08-04,5L_W8_SBL1_East,5L,W8,,SBL1,East,FLCH,W8_OP,1.3856,9,9
2025-08-04,6L_E1_B_SBL1_East,6L,E1,B,SBL1,East,FLCH,E1B_OP,8.8162,5,5
2025-08-04,6L_W15_A_SBL1_West,6L,W15,A,SBL1,West,FLCH,W15A_OP,3.12,6,6
2025-08-04,6L_W18_B_CON-DRV_North,6L,W18,B,CON-DRV,North,FLCH,W18B_OP,6.1133,3,3
2025-08-04,6L_W18_B_CON-DRV_West,6L,W18,B,CON-DRV,West,FLCH,W18B_OP,3.98,3,3
2025-08-04,6L_W2_SBL2_West,6L,W2,,SBL2,West,FLCH,W2_OP,8.7966,12,12
2025-08-04,6L_W4_SBL2_East,6L,W4,,SBL2,East,FLCH,W4_OP,2.0195,4,4
2025-08-04,6L_W8_C_SBL2_East,6L,W8,C,SBL2,East,FLCH,W8C_OP,1.6692,4,4
2025-08-05,2L_W23_SBL1_East,2L,W23,,SBL1,East,FLCH,W23_OP,3.62,5,5
2025-08-05,3L_W23_SBL2_South,3L,W23,,SBL2,South,FLCH,W23_OP,0.28,4,4
2025-08-05,4L_W25_SBL1_North,4L,W25,,SBL1,North,FLCH,W25_OP,1.9425,4,4
2025-08-05,4L_W27_HLGE_West,4L,W27,,HLGE,West,SCH,P1140,0.6067,3,3
2025-08-05,5L_W12_C_CON-DRV_South,5L,W12,C,CON-DRV,South,FLCH,W12_OP,0.1483,6,6
2025-08-05,5L_W8_SBL1_East,5L,W8,,SBL1,East,FLCH,W8_OP,3.138,5,5
2025-08-05,6L_E1_B_SBL2_East,6L,E1,B,SBL2,East,FLCH,E1B_OP,0.9525,4,5
2025-08-05,6L_W14_A_SBL1_East,6L,W14,A,SBL1,East,SCH,W14_OP,0.5475,4,4
2025-08-05,6L_W15_A_SBL1_West,6L,W15,A,SBL1,West,SCH,W15A_OP,0.23,4,4
2025-08-05,6L_W18_CON-DRV_West,6L,W18,,CON-DRV,West,SLGE,W18_OP,0.44,2,4
2025-08-05,6L_W2_SBL2_West,6L,W2,,SBL2,West,FLCH,W2_OP,1.0738,8,8
2025-08-05,6L_W3_A_SBL2_East,6L,W3,A,SBL2,East,FLCH,W4A_OP,2.3233,3,4
2025-08-05,6L_W4_A_SBL2_West,6L,W4,A,SBL2,West,FLCH,W4A_OP,1.2733,3,3
2025-08-05,6L_W8_C_SBL2_East,6L,W8,C,SBL2,East,FLCH,W8C_OP,0.6088,8,8
2025-08-06,2L_W23_SBL1_East,2L,W23,,SBL1,East,FLCH,W23_OP,3.4686,7,7
2025-08-06,4L_W25_SBL1_North,4L,W25,,SBL1,North,FLCH,W25_OP,4.1429,7,7
2025-08-06,5L_W12_B_CON-DRV_South,5L,W12,B,CON-DRV,South,SLGE,W12_BENCH,2.028,10,10
2025-08-06,5L_W8_SBL1_East,5L,W8,,SBL1,East,FLCH,W8_OP,1.372,5,5
2025-08-06,6L_E1_B_SBL1_East,6L,E1,B,SBL1,East,FLCH,E1B_OP,4.638,5,5
2025-08-06,6L_W15_A_SBL1_West,6L,W15,A,SBL1,West,FLCH,W15A_OP,2.3725,4,4
2025-08-06,6L_W18_CON-DRV_East,6L,W18,,CON-DRV,East,SCH,,6.28,1,1
2025-08-06,6L_W18_CON-DRV_West,6L,W18,,CON-DRV,West,SLGE,W18_OP,1.746,5,5
2025-08-06,6L_W2_SBL2_West,6L,W2,,SBL2,West,FLCH,W2_OP,3.425,8,8
2025-08-06,6L_W4_SBL2_East,6L,W4,,SBL2,East,FLCH,W4_OP,4.97,8,8
2025-08-06,6L_W8_C_SBL2_East,6L,W8,C,SBL2,East,FLCH,W8C_OP,2.1283,6,6
2025-08-07,2L_W23_SBL1_East,2L,W23,,SBL1,East,FLCH,W23_OP,2.7883,6,6
2025-08-07,3L_W23_SBL1_South,3L,W23,,SBL1,South,SLGE,W23_OP,2.792,5,6
2025-08-07,4L_W25_SBL1_North,4L,W25,,SBL1,North,FLCH,W25_OP,0.9557,7,7
2025-08-07,5L_W12_CON-DRV_South,5L,W12,,CON-DRV,South,SLGE,W12_OP,1.8062,8,8
2025-08-07,5L_W8_SBL1_East,5L,W8,,SBL1,East,FLCH,W8_OP,1.012,5,5
2025-08-07,6L_E1_B_SBL1_East,6L,E1,B,SBL1,East,FLCH,E1B_OP,9.2925,4,4
2025-08-07,6L_W13_A_SBL1_East,6L,W13,A,SBL1,East,SCH,W14A_OP,3.3933,3,3
2025-08-07,6L_W15_A_SBL1_West,6L,W15,A,SBL1,West,FLCH,W15A_OP,3.366,5,5
2025-08-07,6L_W18_C_CON-DRV_West,6L,W18,C,CON-DRV,West,FLCH,W18_OP,2.55,3,3
2025-08-07,6L_W2_A_SBL2_West,6L,W2,A,SBL2,West,FLCH,W2_OP,7.2767,6,6
2025-08-07,6L_W4_A_SBL2_East,6L,W4,A,SBL2,East,FLCH,W4_OP,8.168,5,5
2025-08-07,6L_W8_C_SBL2_East,6L,W8,C,SBL2,East,FLCH,W8C_OP,7.422,5,5
2025-08-08,2L_W23_SBL1_East,2L,W23,,SBL1,East,FLCH,W23_OP,0.6983,6,6
2025-08-08,3L_W23_SBL1_South,3L,W23,,SBL1,South,FLCH,W23_OP,1.45,4,4
2025-08-08,4L_W25_SBL1_North,4L,W25,,SBL1,North,FLCH,W25_OP,1.465,4,4
2025-08-08,5L_W12_A_CON-DRV_West,5L,W12,A,CON-DRV,West,FLCH,W12A_OP,0.26,8,8
2025-08-08,5L_W12_CON-DRV_East,5L,W12,,CON-DRV,East,SCH,W12_OP,0.752,10,10
2025-08-08,5L_W8_CON-DRV_East,5L,W8,,CON-DRV,East,FLCH,W8C_OP,1.8833,9,9
2025-08-08,6L_E1_B_SBL1_East,6L,E1,B,SBL1,East,FLCH,E1B_OP,6.7067,3,3
2025-08-08,6L_W15_A_SBL1_West,6L,W15,A,SBL1,West,FLCH,W15A_OP,4.5925,4,4
2025-08-08,6L_W18_B_SBL1_East,6L,W18,B,SBL1,East,SLGE,W18C_OP,6.4675,4,4
2025-08-08,6L_W2_A_SBL2_West,6L,W2,A,SBL2,West,FLCH,W2A_OP,5.67,6,6
2025-08-08,6L_W4_A_SBL2_East,6L,W4,A,SBL2,East,FLCH,W4A_OP,9.0375,4,4
2025-08-08,6L_W8_C_SBL2_East,6L,W8,C,SBL2,East,FLCH,W8C_OP,6.6567,3,3
2025-08-09,2L_W23_SBL1_East,2L,W23,,SBL1,East,FLCH,W23_OP,1.092,5,5
2025-08-09,3L_W23_SBL1_South,3L,W23,,SBL1,South,SLGE,W23_OP,0.4757,7,7
2025-08-09,4L_W25_SBL1_North,4L,W25,,SBL1,North,FLCH,W25_OP,2.3167,3,3
2025-08-09,5L_W12_C_CON-DRV_East,5L,W12,C,CON-DRV,East,SCH,W12C_OP,0.38,2,2
2025-08-09,5L_W8_C_CON-DRV_East,5L,W8,C,CON-DRV,East,FLCH,W8C_OP,5.744,5,5
2025-08-09,5L_W8_C_CON-DRV_West,5L,W8,C,CON-DRV,West,FLCH,W8C_OP,4.965,4,4
2025-08-09,6L_E1_B_SBL1_East,6L,E1,B,SBL1,East,FLCH,E1B_OP,6.5725,4,4
2025-08-09,6L_W14_A_SBL1_East,6L,W14,A,SBL1,East,SCH,W14A_OP,4.365,2,2
2025-08-09,6L_W15_A_SBL1_West,6L,W15,A,SBL1,West,FLCH,W15A_OP,3.06,4,4
2025-08-09,6L_W18_B_CON-DRV_West,6L,W18,B,CON-DRV,West,FLCH,W18B_OP,3.83,3,3
2025-08-09,6L_W2_A_SBL2_West,6L,W2,A,SBL2,West,FLCH,W2A_OP,5.6217,6,6
2025-08-09,6L_W4_A_SBL2_East,6L,W4,A,SBL2,East,FLCH,W4A_OP,10.68,4,4
2025-08-09,6L_W8_C_SBL2_East,6L,W8,C,SBL2,East,FLCH,W8C_OP,2.91,5,5
2025-08-11,2L_W23_SBL1_East,2L,W23,,SBL1,East,FLCH,W23_OP,4.188,5,5
2025-08-11,3L_W23_SBL2_South,3L,W23,,SBL2,South,SLGE,W23_OP,0.574,5,5
2025-08-11,4L_W25_SBL1_North,4L,W25,,SBL1,North,FLCH,W25_OP,1.7025,4,4
2025-08-11,5L_W11_CON-DRV_West,5L,W11,,CON-DRV,West,FLCH,W11C_OP,0.5437,3,3
2025-08-11,5L_W12_CON-DRV_South,5L,W12,,CON-DRV,South,SLGE,W12_OP,0.5597,15,15
2025-08-11,5L_W12_SBL2_East,5L,W12,,SBL2,East,SCH,W12_OP,1.22,2,2
2025-08-11,5L_W8_SBL1_East,5L,W8,,SBL1,East,FLCH,W8_OP,2.8113,4,4
2025-08-11,5L_W8_SBL1_West,5L,W8,,SBL1,West,FLCH,W8_OP,3.1725,4,4
2025-08-11,6L_E1_B_SBL1_East,6L,E1,B,SBL1,East,FLCH,E1B_OP,4.1791,7,7
2025-08-11,6L_W14_A_SBL1_East,6L,W14,A,SBL1,East,SCH,W14A_OP,4.51,2,2
2025-08-11,6L_W15_A_SBL1_West,6L,W15,A,SBL1,West,GRABS,W15A_OP,4.735,4,4
2025-08-11,6L_W18_B_CON-DRV_West,6L,W18,B,CON-DRV,West,SCH,W18B_OP,5.8067,3,3
2025-08-11,6L_W2_SBL2_West,6L,W2,,SBL2,West,FLCH,W2_OP,9.1286,7,7
2025-08-11,6L_W4_SBL2_East,6L,W4,,SBL2,East,FLCH,W4_OP,9.364,5,5
2025-08-11,6L_W4_SBL2_West,6L,W4,,SBL2,West,FLCH,W4A_OP,8.506,5,5
2025-08-11,6L_W8_C_SBL2_East,6L,W8,C,SBL2,East,FLCH,W8C_OP,7.9975,4,4
2025-08-12,2L_W23_SBL1_East,2L,W23,,SBL1,East,FLCH,W23_OP,1.405,4,4
2025-08-12,3L_W23_SBL2_South,3L,W23,,SBL2,South,SLGE,W23_OP,0.6325,4,4
2025-08-12,4L_W25_SBL1_North,4L,W25,,SBL1,North,FLCH,W25_OP,0.1475,4,4
2025-08-12,5L_W12_CON-DRV_South,5L,W12,,CON-DRV,South,SLGE,W12_OP,0.2936,11,11
2025-08-12,5L_W12_SBL2_East,5L,W12,,SBL2,East,SCH,W12_OP,4.6367,3,3
2025-08-12,5L_W12_SBL2_West,5L,W12,,SBL2,West,SCH,W12_OP,1.5433,3,3
2025-08-12,5L_W8_SBL1_East,5L,W8,,SBL1,East,FLCH,W8_OP,8.33,4,4
2025-08-12,5L_W8_SBL1_West,5L,W8,,SBL1,West,FLCH,W8_OP,2.692,5,5
2025-08-12,6L_E1_B_SBL1_East,6L,E1,B,SBL1,East,SLGE,E1B_OP,0.443,4,4
2025-08-12,6L_E1_SBL2_East,6L,E1,,SBL2,East,SLGE,E1B_OP,1.35,2,2
2025-08-12,6L_W13_C_SBL1_East,6L,W13,C,SBL1,East,FLCH,W13C_OP,2.2967,3,4
2025-08-12,6L_W14_A_SBL1_East,6L,W14,A,SBL1,East,SLGE,W14A_OP,0.074,6,6
2025-08-12,6L_W15_A_SBL1_West,6L,W15,A,SBL1,West,GRABS,W15A_OP,1.875,4,4
2025-08-12,6L_W18_B_CON-DRV_North,6L,W18,B,CON-DRV,North,SLGE,W18B_OP,2.4875,4,4
2025-08-12,6L_W2_SBL2_West,6L,W2,,SBL2,West,FLCH,W2_OP,3.52,6,6
2025-08-12,6L_W4_SBL2_East,6L,W4,,SBL2,East,FLCH,W4_OP,1.866,5,5
2025-08-12,6L_W5_SBL2_East,6L,W5,,SBL2,East,FLCH,W5_OP,2.974,5,5
2025-08-12,6L_W8_C_SBL2_East,6L,W8,C,SBL2,East,FLCH,W8C_OP,1.19,4,4
2025-08-13,2L_W23_SBL1_East,2L,W23,,SBL1,East,FLCH,W23_OP,1.635,2,2
2025-08-13,3L_W23_SBL2_South,3L,W23,,SBL2,South,SLGE,W23_OP,1.84,4,4
2025-08-13,4L_W25_SBL1_North,4L,W25,,SBL1,North,FLCH,W25_OP,1.2267,3,3
2025-08-13,5L_W12_C_CON-DRV_South,5L,W12,C,CON-DRV,South,SLGE,W12_OP,1.105,4,4
2025-08-13,5L_W12_C_SBL2_North,5L,W12,C,SBL2,North,SLGE,W12_OP,0.0633,6,6
2025-08-13,5L_W8_C_SBL2_East,5L,W8,C,SBL2,East,FLCH,W8_OP,9.5275,4,4
2025-08-13,5L_W8_C_SBL2_West,5L,W8,C,SBL2,West,FLCH,W8_OP,7.5302,5,5
2025-08-13,6L_E1_B_SBL1_East,6L,E1,B,SBL1,East,FLCH,E1B_OP,2.4675,4,4
2025-08-13,6L_W13_C_SBL1_East,6L,W13,C,SBL1,East,FLCH,W14A_OP,1.0767,3,3
2025-08-13,6L_W14_A_SBL1_West,6L,W14,A,SBL1,West,FLCH,W14A_OP,9.2833,3,3
2025-08-13,6L_W18_B_CON-DRV_West,6L,W18,B,CON-DRV,West,SLGE,W18B_OP,8.82,3,4
2025-08-13,6L_W2_SBL2_West,6L,W2,,SBL2,West,FLCH,W2_OP,7.37,8,8
2025-08-13,6L_W4_SBL2_East,6L,W4,,SBL2,East,SLGE,W4_OP,0.885,8,8
2025-08-13,6L_W5_SBL2_West,6L,W5,,SBL2,West,FLCH,W5_OP,0.1433,3,3
2025-08-13,6L_W8_C_SBL2_East,6L,W8,C,SBL2,East,SLGE,W8C_OP,1.21,5,5
2025-08-14,2L_W23_SBL1_East,2L,W23,,SBL1,East,FLCH,W23_OP,9.23,5,5
2025-08-14,3L_W23_SBL2_South,3L,W23,,SBL2,South,SLGE,W23_OP,0.544,5,5
2025-08-14,3L_W25_SBL1_West,3L,W25,,SBL1,West,SLGE,W25_OP,0.0738,8,8
2025-08-14,3L_W26_HLGE_North,3L,W26,,HLGE,North,SCH,,0.0617,6,6
