DATE,LEVEL,SECTION,Unnamed: 3,LOCATION,SAMPLE TYPE,DISTANCE FROM PEG(m),DIRECTION,PEG ID,DEPTH (m),FROM,TO,SAMPLE WIDTH,SAMPLE ID,AU,STOPE .AV,SAMPLER,GEOTECH,Unnamed: 18,is_qaqc,ID
2025-08-01,2L,W23,,SBL1,FLCH,2.0,East,W23_OP,,0,1.0,1.0,MM905313,1.45,1.9511111111111115,,,,False,2L_W23_SBL1_East
2025-08-01,2L,W23,,SBL1,FLCH,2.0,East,W23_OP,,1,2.0,1.0,MM905314,2.86,1.9511111111111115,,,,False,2L_W23_SBL1_East
2025-08-01,2L,W23,,SBL1,FLCH,2.0,East,W23_OP,STD 0925  1.04g/t,,,1.0,MM905315,1.06,1.9511111111111115,,,,True,2L_W23_SBL1_East
2025-08-01,2L,W23,,SBL1,FLCH,2.0,East,W23_OP,,2,3.0,1.0,MM905316,1.79,1.9511111111111115,,,,False,2L_W23_SBL1_East
2025-08-01,2L,W23,,SBL1,FLCH,2.0,East,W23_OP,,3,4.0,1.0,MM905317,1.94,1.9511111111111115,,,,False,2L_W23_SBL1_East
2025-08-01,2L,W23,,SBL1,FLCH,4.0,East,W23_OP,,0,1.0,1.0,MM905318,1.15,1.9511111111111115,,,,False,2L_W23_SBL1_East
2025-08-01,2L,W23,,SBL1,FLCH,4.0,East,W23_OP,,1,2.0,1.0,MM905319,0.56,1.9511111111111115,,,,False,2L_W23_SBL1_East
2025-08-01,2L,W23,,SBL1,FLCH,4.0,East,W23_OP,,2,3.0,1.0,MM905320,2.71,1.9511111111111115,,,,False,2L_W23_SBL1_East
2025-08-01,2L,W23,,SBL1,FLCH,4.0,East,W23_OP,,3,4.0,1.0,MM905321,2.59,1.9511111111111115,,,,False,2L_W23_SBL1_East
2025-08-01,2L,W23,,SBL1,FLCH,4.0,East,W23_OP,,4,5.0,1.0,MM905322,2.51,1.9511111111111115,,,,False,2L_W23_SBL1_East
2025-08-01,3L,W23,,SBL2,SCH,4.8,South,W23_OP,,0,1.0,1.0,MM905323,1.87,1.016,,,,False,3L_W23_SBL2_South
2025-08-01,3L,W23,,SBL2,SCH,4.8,South,W23_OP,,1,2.0,1.0,MM905324,0.24,1.016,,,,False,3L_W23_SBL2_South
2025-08-01,3L,W23,,SBL2,SCH,4.8,South,W23_OP,FDUP,,,1.0,MM905325,0.12,1.016,,,,True,3L_W23_SBL2_South
2025-08-01,3L,W23,,SBL2,SCH,4.8,South,W23_OP,,2,3.0,1.0,MM905326,0.16,1.016,,,,False,3L_W23_SBL2_South
2025-08-01,3L,W23,,SBL2,SCH,4.8,South,W23_OP,,3,4.0,1.0,MM905327,0.24,1.016,,,,False,3L_W23_SBL2_South
2025-08-01,3L,W23,,SBL2,SCH,4.8,South,W23_OP,,4,5.0,1.0,MM905328,2.57,1.016,,,,False,3L_W23_SBL2_South
2025-08-01,5L,W8,,SBL1,FLCH,2.0,East,W8_OP,,0,1.2,1.2,MM905329,2.84,3.876666666666667,,,,False,5L_W8_SBL1_East
2025-08-01,5L,W8,,SBL1,FLCH,2.0,East,W8_OP,BLANK,,,1.2,MM905330,0,3.876666666666667,,,,True,5L_W8_SBL1_East
2025-08-01,5L,W8,,SBL1,FLCH,2.0,East,W8_OP,,1.2,2.2,1.0000000000000002,MM905331,1.11,3.876666666666667,,,,False,5L_W8_SBL1_East
2025-08-01,5L,W8,,SBL1,FLCH,2.0,East,W8_OP,,2.2,3.2,1.0,MM905332,4.17,3.876666666666667,,,,False,5L_W8_SBL1_East
2025-08-01,5L,W8,,SBL1,FLCH,2.0,East,W8_OP,,3.2,3.9,0.6999999999999997,MM905333,4.5,3.876666666666667,,,,False,5L_W8_SBL1_East
2025-08-01,5L,W8,,SBL1,FLCH,4.0,East,W8_OP,,0,1.0,1.0,MM905334,8.96,3.876666666666667,,,,False,5L_W8_SBL1_East
2025-08-01,5L,W8,,SBL1,FLCH,4.0,East,W8_OP,STD 0925  1.04g/t,,,1.0,MM905335,3.27,3.876666666666667,,,,True,5L_W8_SBL1_East
2025-08-01,5L,W8,,SBL1,FLCH,4.0,East,W8_OP,,1,2.0,1.0,MM905336,0.1,3.876666666666667,,,,False,5L_W8_SBL1_East
2025-08-01,5L,W8,,SBL1,FLCH,4.0,East,W8_OP,,2,2.6,0.6000000000000001,MM905337,0.49,3.876666666666667,,,,False,5L_W8_SBL1_East
2025-08-01,5L,W8,,SBL1,FLCH,4.0,East,W8_OP,,2.6,3.6,1.0,MM905338,5.23,3.876666666666667,,,,False,5L_W8_SBL1_East
2025-08-01,5L,W8,,SBL1,FLCH,4.0,East,W8_OP,,3.6,4.3,0.6999999999999997,MM905339,7.49,3.876666666666667,,,,False,5L_W8_SBL1_East
2025-08-01,4L,W25,,SBL1,FLCH,0.4,North,W25_OP,,0,1.0,1.0,MM905340,3.3,4.121666666666667,,,,False,4L_W25_SBL1_North
2025-08-01,4L,W25,,SBL1,FLCH,0.4,North,W25_OP,,1,2.0,1.0,MM905341,3.12,4.121666666666667,,,,False,4L_W25_SBL1_North
2025-08-01,4L,W25,,SBL1,FLCH,0.4,North,W25_OP,,2,2.7,0.7000000000000002,MM905342,1.8,4.121666666666667,,,,False,4L_W25_SBL1_North
2025-08-01,4L,W25,,SBL1,FLCH,0.4,North,W25_OP,,0,1.0,1.0,MM905343,7.06,4.121666666666667,,,,False,4L_W25_SBL1_North
2025-08-01,4L,W25,,SBL1,FLCH,0.4,North,W25_OP,,1,2.0,1.0,MM905344,4.14,4.121666666666667,,,,False,4L_W25_SBL1_North
2025-08-01,4L,W25,,SBL1,FLCH,0.4,North,W25_OP,FDUP,,,1.0,MM905345,3.79,4.121666666666667,,,,True,4L_W25_SBL1_North
2025-08-01,4L,W25,,SBL1,FLCH,0.4,North,W25_OP,,2,2.9,0.8999999999999999,MM905346,5.31,4.121666666666667,,,,False,4L_W25_SBL1_North
2025-08-01,5L,W12,A,CON-DRV,SCH,3.8,South,W12A_OP,,0,1.0,1.0,MM964270,0.18,1.458,,,,False,5L_W12_A_CON-DRV_South
