Date,Dev_ID,Budget_Metres,Actual_Metres,MTD_Budget,MTD_Actual
2025-08-01,10LW7_BOX_RSE,0.0,0.0,8.100000000000001,10.000000000000002
2025-08-01,10LW7_CDRIVE_EAST,0.0,0.0,6.4,1.6
2025-08-01,10L_E1_RAISE,0.9,0.9,14.400000000000004,8.600000000000001
2025-08-01,10L_E2_C_DRIVE,1.6,1.6,25.600000000000005,23.500000000000004
2025-08-01,10L_E2_RAISE,0.9,0.9,14.400000000000004,11.0
2025-08-01,10L_E3_OREPASS,0.9,0.8,12.600000000000003,10.600000000000003
2025-08-01,10L_E3_WASTEPAS,0.9,0.9,13.500000000000004,14.000000000000002
2025-08-01,10L_E7_DAM,0.0,1.3,11.700000000000001,14.8
2025-08-01,10L_W15_OREPASS,0.9,0.9,11.700000000000003,12.4
2025-08-01,10L_W15_WASTEPASS,0.0,0.9,9.000000000000002,8.4
2025-08-01,10L_W7B_BOX RSE,0.0,0.0,0.0,8.100000000000001
2025-08-01,10L_W8_RAISE,0.0,0.9,12.600000000000003,13.500000000000004
2025-08-01,3L_E9_HAULAGE_EAST,1.6,1.4,25.600000000000005,25.1
2025-08-01,3L_W28_SL_2_EAST,0.0,0.0,3.2,1.4
2025-08-01,3L_W29_RAISE,0.9,0.7,12.600000000000003,14.600000000000003
2025-08-01,4L_E13_HAULAGE,1.6,1.7,25.600000000000005,26.8
2025-08-01,4L_W29_HAULAGE,1.3,1.3,20.800000000000004,17.1
2025-08-01,4L_W7 WASTE PASS ACCESS,0.0,1.3,0.0,10.700000000000001
2025-08-01,5L_W11_SL_1_WEST',1.6,1.6,19.2,10.3
2025-08-01,5L_W13_CROSS_CUT,1.3,0.8,18.200000000000003,15.300000000000002
2025-08-01,5L_W14_CDRIVE_WEST,1.6,0.0,25.600000000000005,19.5
2025-08-01,5L_W14_HAULAGE,1.6,1.6,25.600000000000005,24.5
2025-08-01,5L_W26_HOISTROOM,0.0,0.0,9.6,13.0
2025-08-01,5L_W2_CROSS_CUT,1.6,1.6,15.999999999999998,10.899999999999999
2025-08-01,6LA_W14_DRIVE_WEST,0.0,0.8,0.0,12.200000000000001
2025-08-01,6LA_W19_DRIVE_WEST,1.6,1.4,24.000000000000004,19.200000000000003
2025-08-01,6LA_W2_SL1_DRIVE,1.3,0.9,20.800000000000004,17.6
2025-08-01,6LA_W3_RAISE,0.0,0.0,6.300000000000001,2.8
2025-08-01,6LA_W4_DRIVE_EAST,1.6,0.0,14.399999999999999,21.8
2025-08-01,6LA_W5_DRIVE_EAST,0.0,1.6,5.2,1.6
2025-08-01,6LW24_BYPASS,0.0,0.0,1.6,0.0
2025-08-01,6L__W14_RAISE,0.9,0.9,8.100000000000001,15.500000000000004
2025-08-01,7L_E1_OREPASS,0.9,0.9,14.400000000000004,13.500000000000004
2025-08-01,7L_E1_TWAY,0.9,0.9,14.400000000000004,18.599999999999994
2025-08-01,7L_W2_SL_2_WEST,1.6,1.4,25.600000000000005,23.500000000000004
2025-08-01,8L_W14_OREPASS,0.0,0.0,0.0,0.9
2025-08-01,8L_W14_TWAY,0.9,1.5,14.400000000000004,17.800000000000004
2025-08-01,8L_W15_SLOT,0.9,0.9,14.400000000000004,13.800000000000002
2025-08-01,8L_W15_SL_3_WEST,1.6,1.6,25.600000000000005,26.000000000000007
2025-08-01,8L_W16_HUALAGE_WEST,0.0,1.4,4.800000000000001,2.4
2025-08-01,8L_W16_OREPASS,0.9,0.9,14.400000000000004,5.4
2025-08-01,8L_W16_SL_3_WEST,0.0,0.0,15.999999999999998,8.7
2025-08-01,8L_W16_TWAY,0.9,0.9,5.4,6.300000000000001
2025-08-01,8L_W17_SL_1_WEST,0.0,0.0,0.0,13.700000000000001
2025-08-01,8L_W17_SL_2_WEST,1.6,0.9,25.600000000000005,22.100000000000005
2025-08-01,9L_E3_OREPASS,0.0,0.0,9.000000000000002,0.0
2025-08-01,9L_E3_WASTEPASS,0.0,0.0,9.000000000000002,0.0
2025-08-01,Venning Shaft Overrun,0.9,0.9,9.000000000000002,6.800000000000001
2025-08-02,10LW7_BOX_RSE,0.0,0.0,8.100000000000001,10.000000000000002
2025-08-02,10LW7_CDRIVE_EAST,0.0,0.0,6.4,1.6
2025-08-02,10L_E1_RAISE,0.9,0.9,14.400000000000004,8.600000000000001
2025-08-02,10L_E2_C_DRIVE,1.6,1.4,25.600000000000005,23.500000000000004
2025-08-02,10L_E2_RAISE,0.9,0.9,14.400000000000004,11.0
2025-08-02,10L_E3_OREPASS,0.9,0.0,12.600000000000003,10.600000000000003
2025-08-02,10L_E3_WASTEPAS,0.9,0.9,13.500000000000004,14.000000000000002
2025-08-02,10L_E7_DAM,0.0,1.3,11.700000000000001,14.8
2025-08-02,10L_W15_OREPASS,0.9,0.9,11.700000000000003,12.4
2025-08-02,10L_W15_WASTEPASS,0.0,0.9,9.000000000000002,8.4
2025-08-02,10L_W7B_BOX RSE,0.0,0.0,0.0,8.100000000000001
2025-08-02,10L_W8_RAISE,0.0,0.9,12.600000000000003,13.500000000000004
2025-08-02,3L_E9_HAULAGE_EAST,1.6,1.3,25.600000000000005,25.1
2025-08-02,3L_W28_SL_2_EAST,0.0,0.0,3.2,1.4
2025-08-02,3L_W29_RAISE,0.9,0.9,12.600000000000003,14.600000000000003
2025-08-02,4L_E13_HAULAGE,1.6,1.8,25.600000000000005,26.8
2025-08-02,4L_W29_HAULAGE,1.3,1.4,20.800000000000004,17.1
2025-08-02,4L_W7 WASTE PASS ACCESS,0.0,1.1,0.0,10.700000000000001
2025-08-02,5L_W11_SL_1_WEST',1.6,1.3,19.2,10.3
2025-08-02,5L_W13_CROSS_CUT,1.3,1.3,18.200000000000003,15.300000000000002
2025-08-02,5L_W14_CDRIVE_WEST,1.6,1.3,25.600000000000005,19.5
2025-08-02,5L_W14_HAULAGE,1.6,1.6,25.600000000000005,24.5
2025-08-02,5L_W26_HOISTROOM,0.0,0.0,9.6,13.0
2025-08-02,5L_W2_CROSS_CUT,1.6,1.6,15.999999999999998,10.899999999999999
2025-08-02,6LA_W14_DRIVE_WEST,0.0,0.0,0.0,12.200000000000001
2025-08-02,6LA_W19_DRIVE_WEST,1.6,0.0,24.000000000000004,19.200000000000003
2025-08-02,6LA_W2_SL1_DRIVE,1.3,1.3,20.800000000000004,17.6
2025-08-02,6LA_W3_RAISE,0.0,0.0,6.300000000000001,2.8
2025-08-02,6LA_W4_DRIVE_EAST,1.6,1.6,14.399999999999999,21.8
2025-08-02,6LA_W5_DRIVE_EAST,0.0,0.0,5.2,1.6
2025-08-02,6LW24_BYPASS,0.0,0.0,1.6,0.0
2025-08-02,6L__W14_RAISE,0.9,1.3,8.100000000000001,15.500000000000004
2025-08-02,7L_E1_OREPASS,0.9,0.9,14.400000000000004,13.500000000000004
2025-08-02,7L_E1_TWAY,0.9,1.5,14.400000000000004,18.599999999999994
2025-08-02,7L_W2_SL_2_WEST,1.6,1.6,25.600000000000005,23.500000000000004
2025-08-02,8L_W14_OREPASS,0.0,0.9,0.0,0.9
2025-08-02,8L_W14_TWAY,0.9,1.3,14.400000000000004,17.800000000000004
2025-08-02,8L_W15_SLOT,0.9,0.9,14.400000000000004,13.800000000000002
2025-08-02,8L_W15_SL_3_WEST,1.6,1.6,25.600000000000005,26.000000000000007
2025-08-02,8L_W16_HUALAGE_WEST,0.0,0.0,4.800000000000001,2.4
2025-08-02,8L_W16_OREPASS,0.9,0.0,14.400000000000004,5.4
2025-08-02,8L_W16_SL_3_WEST,0.0,0.0,15.999999999999998,8.7
2025-08-02,8L_W16_TWAY,0.9,0.9,5.4,6.300000000000001
2025-08-02,8L_W17_SL_1_WEST,0.0,1.6,0.0,13.700000000000001
2025-08-02,8L_W17_SL_2_WEST,1.6,1.6,25.600000000000005,22.100000000000005
2025-08-02,9L_E3_OREPASS,0.0,0.0,9.000000000000002,0.0
2025-08-02,9L_E3_WASTEPASS,0.0,0.0,9.000000000000002,0.0
2025-08-02,Venning Shaft Overrun,0.9,0.9,9.000000000000002,6.800000000000001
2025-08-03,10LW7_BOX_RSE,0.0,0.0,8.100000000000001,10.000000000000002
2025-08-03,10LW7_CDRIVE_EAST,0.0,0.0,6.4,1.6
2025-08-03,10L_E1_RAISE,0.0,0.0,14.400000000000004,8.600000000000001
2025-08-03,10L_E2_C_DRIVE,0.0,0.0,25.600000000000005,23.500000000000004
2025-08-03,10L_E2_RAISE,0.0,0.0,14.400000000000004,11.0
2025-08-03,10L_E3_OREPASS,0.0,0.0,12.600000000000003,10.600000000000003
2025-08-03,10L_E3_WASTEPAS,0.0,0.9,13.500000000000004,14.000000000000002
2025-08-03,10L_E7_DAM,0.0,1.2,11.700000000000001,14.8
2025-08-03,10L_W15_OREPASS,0.0,0.0,11.700000000000003,12.4
2025-08-03,10L_W15_WASTEPASS,0.0,0.0,9.000000000000002,8.4
2025-08-03,10L_W7B_BOX RSE,0.0,0.0,0.0,8.100000000000001
2025-08-03,10L_W8_RAISE,0.0,0.0,12.600000000000003,13.500000000000004
2025-08-03,3L_E9_HAULAGE_EAST,0.0,0.0,25.600000000000005,25.1
2025-08-03,3L_W28_SL_2_EAST,0.0,0.0,3.2,1.4
2025-08-03,3L_W29_RAISE,0.0,0.0,12.600000000000003,14.600000000000003
2025-08-03,4L_E13_HAULAGE,0.0,0.0,25.600000000000005,26.8
2025-08-03,4L_W29_HAULAGE,0.0,0.0,20.800000000000004,17.1
2025-08-03,4L_W7 WASTE PASS ACCESS,0.0,0.0,0.0,10.700000000000001
2025-08-03,5L_W11_SL_1_WEST',0.0,0.0,19.2,10.3
2025-08-03,5L_W13_CROSS_CUT,0.0,0.0,18.200000000000003,15.300000000000002
2025-08-03,5L_W14_CDRIVE_WEST,0.0,0.0,25.600000000000005,19.5
2025-08-03,5L_W14_HAULAGE,0.0,0.0,25.600000000000005,24.5
2025-08-03,5L_W26_HOISTROOM,0.0,0.0,9.6,13.0
2025-08-03,5L_W2_CROSS_CUT,0.0,0.0,15.999999999999998,10.899999999999999
2025-08-03,6LA_W14_DRIVE_WEST,0.0,0.0,0.0,12.200000000000001
2025-08-03,6LA_W19_DRIVE_WEST,0.0,0.0,24.000000000000004,19.200000000000003
2025-08-03,6LA_W2_SL1_DRIVE,0.0,0.0,20.800000000000004,17.6
2025-08-03,6LA_W3_RAISE,0.0,0.0,6.300000000000001,2.8
2025-08-03,6LA_W4_DRIVE_EAST,0.0,0.0,14.399999999999999,21.8
2025-08-03,6LA_W5_DRIVE_EAST,0.0,0.0,5.2,1.6
2025-08-03,6LW24_BYPASS,0.0,0.0,1.6,0.0
2025-08-03,6L__W14_RAISE,0.0,0.0,8.100000000000001,15.500000000000004
2025-08-03,7L_E1_OREPASS,0.0,0.0,14.400000000000004,13.500000000000004
2025-08-03,7L_E1_TWAY,0.0,0.0,14.400000000000004,18.599999999999994
2025-08-03,7L_W2_SL_2_WEST,0.0,0.0,25.600000000000005,23.500000000000004
2025-08-03,8L_W14_OREPASS,0.0,0.0,0.0,0.9
2025-08-03,8L_W14_TWAY,0.0,0.0,14.400000000000004,17.800000000000004
2025-08-03,8L_W15_SLOT,0.0,0.0,14.400000000000004,13.800000000000002
2025-08-03,8L_W15_SL_3_WEST,0.0,0.0,25.600000000000005,26.000000000000007
2025-08-03,8L_W16_HUALAGE_WEST,0.0,0.0,4.800000000000001,2.4
2025-08-03,8L_W16_OREPASS,0.0,0.0,14.400000000000004,5.4
2025-08-03,8L_W16_SL_3_WEST,0.0,0.0,15.999999999999998,8.7
2025-08-03,8L_W16_TWAY,0.0,0.0,5.4,6.300000000000001
2025-08-03,8L_W17_SL_1_WEST,0.0,0.0,0.0,13.700000000000001
2025-08-03,8L_W17_SL_2_WEST,0.0,0.0,25.600000000000005,22.100000000000005
2025-08-03,9L_E3_OREPASS,0.0,0.0,9.000000000000002,0.0
2025-08-03,9L_E3_WASTEPASS,0.0,0.0,9.000000000000002,0.0
2025-08-03,Venning Shaft Overrun,0.9,0.8,9.000000000000002,6.800000000000001
2025-08-04,10LW7_BOX_RSE,0.0,0.0,8.100000000000001,10.000000000000002
2025-08-04,10LW7_CDRIVE_EAST,0.0,0.0,6.4,1.6
2025-08-04,10L_E1_RAISE,0.9,0.9,14.400000000000004,8.600000000000001
2025-08-04,10L_E2_C_DRIVE,1.6,1.6,25.600000000000005,23.500000000000004
2025-08-04,10L_E2_RAISE,0.9,0.9,14.400000000000004,11.0
2025-08-04,10L_E3_OREPASS,0.9,0.9,12.600000000000003,10.600000000000003
2025-08-04,10L_E3_WASTEPAS,0.9,0.9,13.500000000000004,14.000000000000002
2025-08-04,10L_E7_DAM,0.0,1.2,11.700000000000001,14.8
2025-08-04,10L_W15_OREPASS,0.9,0.8,11.700000000000003,12.4
2025-08-04,10L_W15_WASTEPASS,0.0,0.0,9.000000000000002,8.4
2025-08-04,10L_W7B_BOX RSE,0.0,0.0,0.0,8.100000000000001
2025-08-04,10L_W8_RAISE,0.9,0.9,12.600000000000003,13.500000000000004
2025-08-04,3L_E9_HAULAGE_EAST,1.6,1.7,25.600000000000005,25.1
2025-08-04,3L_W28_SL_2_EAST,0.0,0.0,3.2,1.4
2025-08-04,3L_W29_RAISE,0.9,0.9,12.600000000000003,14.600000000000003
2025-08-04,4L_E13_HAULAGE,1.6,1.8,25.600000000000005,26.8
2025-08-04,4L_W29_HAULAGE,1.3,0.0,20.800000000000004,17.1
2025-08-04,4L_W7 WASTE PASS ACCESS,0.0,1.7,0.0,10.700000000000001
2025-08-04,5L_W11_SL_1_WEST',1.6,1.8,19.2,10.3
2025-08-04,5L_W13_CROSS_CUT,1.3,1.4,18.200000000000003,15.300000000000002
2025-08-04,5L_W14_CDRIVE_WEST,1.6,0.9,25.600000000000005,19.5
2025-08-04,5L_W14_HAULAGE,1.6,1.7,25.600000000000005,24.5
2025-08-04,5L_W26_HOISTROOM,0.0,0.0,9.6,13.0
2025-08-04,5L_W2_CROSS_CUT,1.6,1.3,15.999999999999998,10.899999999999999
2025-08-04,6LA_W14_DRIVE_WEST,0.0,0.0,0.0,12.200000000000001
2025-08-04,6LA_W19_DRIVE_WEST,1.6,1.6,24.000000000000004,19.200000000000003
2025-08-04,6LA_W2_SL1_DRIVE,1.3,1.4,20.800000000000004,17.6
2025-08-04,6LA_W3_RAISE,0.0,0.0,6.300000000000001,2.8
2025-08-04,6LA_W4_DRIVE_EAST,1.6,1.6,14.399999999999999,21.8
2025-08-04,6LA_W5_DRIVE_EAST,0.0,0.0,5.2,1.6
2025-08-04,6LW24_BYPASS,0.0,0.0,1.6,0.0
2025-08-04,6L__W14_RAISE,0.9,1.3,8.100000000000001,15.500000000000004
2025-08-04,7L_E1_OREPASS,0.9,0.9,14.400000000000004,13.500000000000004
2025-08-04,7L_E1_TWAY,0.9,0.9,14.400000000000004,18.599999999999994
2025-08-04,7L_W2_SL_2_WEST,1.6,1.6,25.600000000000005,23.500000000000004
2025-08-04,8L_W14_OREPASS,0.0,0.0,0.0,0.9
2025-08-04,8L_W14_TWAY,0.9,1.6,14.400000000000004,17.800000000000004
2025-08-04,8L_W15_SLOT,0.9,1.0,14.400000000000004,13.800000000000002
2025-08-04,8L_W15_SL_3_WEST,1.6,1.6,25.600000000000005,26.000000000000007
2025-08-04,8L_W16_HUALAGE_WEST,0.0,0.0,4.800000000000001,2.4
2025-08-04,8L_W16_OREPASS,0.9,0.0,14.400000000000004,5.4
2025-08-04,8L_W16_SL_3_WEST,0.0,0.0,15.999999999999998,8.7
2025-08-04,8L_W16_TWAY,0.9,0.9,5.4,6.300000000000001
2025-08-04,8L_W17_SL_1_WEST,0.0,1.6,0.0,13.700000000000001
2025-08-04,8L_W17_SL_2_WEST,1.6,1.6,25.600000000000005,22.100000000000005
2025-08-04,9L_E3_OREPASS,0.0,0.0,9.000000000000002,0.0
2025-08-04,9L_E3_WASTEPASS,0.0,0.0,9.000000000000002,0.0
2025-08-04,Venning Shaft Overrun,0.9,0.0,9.000000000000002,6.800000000000001
2025-08-05,10LW7_BOX_RSE,0.9,0.9,8.100000000000001,10.000000000000002
2025-08-05,10LW7_CDRIVE_EAST,0.0,0.0,6.4,1.6
2025-08-05,10L_E1_RAISE,0.9,0.0,14.400000000000004,8.600000000000001
2025-08-05,10L_E2_C_DRIVE,1.6,1.6,25.600000000000005,23.500000000000004
2025-08-05,10L_E2_RAISE,0.9,0.0,14.400000000000004,11.0
2025-08-05,10L_E3_OREPASS,0.9,0.9,12.600000000000003,10.600000000000003
2025-08-05,10L_E3_WASTEPAS,0.9,0.9,13.500000000000004,14.000000000000002
2025-08-05,10L_E7_DAM,0.0,1.3,11.700000000000001,14.8
2025-08-05,10L_W15_OREPASS,0.9,0.9,11.700000000000003,12.4
2025-08-05,10L_W15_WASTEPASS,0.0,0.0,9.000000000000002,8.4
2025-08-05,10L_W7B_BOX RSE,0.0,0.9,0.0,8.100000000000001
2025-08-05,10L_W8_RAISE,0.9,0.9,12.600000000000003,13.500000000000004
2025-08-05,3L_E9_HAULAGE_EAST,1.6,1.7,25.600000000000005,25.1
2025-08-05,3L_W28_SL_2_EAST,0.0,0.0,3.2,1.4
2025-08-05,3L_W29_RAISE,0.9,0.9,12.600000000000003,14.600000000000003
2025-08-05,4L_E13_HAULAGE,1.6,1.8,25.600000000000005,26.8
2025-08-05,4L_W29_HAULAGE,1.3,1.4,20.800000000000004,17.1
2025-08-05,4L_W7 WASTE PASS ACCESS,0.0,1.0,0.0,10.700000000000001
2025-08-05,5L_W11_SL_1_WEST',1.6,0.9,19.2,10.3
2025-08-05,5L_W13_CROSS_CUT,1.3,1.3,18.200000000000003,15.300000000000002
2025-08-05,5L_W14_CDRIVE_WEST,1.6,1.6,25.600000000000005,19.5
2025-08-05,5L_W14_HAULAGE,1.6,1.6,25.600000000000005,24.5
2025-08-05,5L_W26_HOISTROOM,0.0,0.0,9.6,13.0
2025-08-05,5L_W2_CROSS_CUT,1.6,1.6,15.999999999999998,10.899999999999999
2025-08-05,6LA_W14_DRIVE_WEST,0.0,0.0,0.0,12.200000000000001
2025-08-05,6LA_W19_DRIVE_WEST,1.6,1.5,24.000000000000004,19.200000000000003
2025-08-05,6LA_W2_SL1_DRIVE,1.3,1.3,20.800000000000004,17.6
2025-08-05,6LA_W3_RAISE,0.0,0.0,6.300000000000001,2.8
2025-08-05,6LA_W4_DRIVE_EAST,1.6,1.6,14.399999999999999,21.8
2025-08-05,6LA_W5_DRIVE_EAST,0.0,0.0,5.2,1.6
2025-08-05,6LW24_BYPASS,0.0,0.0,1.6,0.0
2025-08-05,6L__W14_RAISE,0.9,0.9,8.100000000000001,15.500000000000004
2025-08-05,7L_E1_OREPASS,0.9,0.9,14.400000000000004,13.500000000000004
2025-08-05,7L_E1_TWAY,0.9,0.9,14.400000000000004,18.599999999999994
2025-08-05,7L_W2_SL_2_WEST,1.6,1.6,25.600000000000005,23.500000000000004
2025-08-05,8L_W14_OREPASS,0.0,0.0,0.0,0.9
2025-08-05,8L_W14_TWAY,0.9,1.5,14.400000000000004,17.800000000000004
2025-08-05,8L_W15_SLOT,0.9,1.0,14.400000000000004,13.800000000000002
2025-08-05,8L_W15_SL_3_WEST,1.6,1.6,25.600000000000005,26.000000000000007
2025-08-05,8L_W16_HUALAGE_WEST,0.0,0.0,4.800000000000001,2.4
2025-08-05,8L_W16_OREPASS,0.9,0.0,14.400000000000004,5.4
2025-08-05,8L_W16_SL_3_WEST,0.0,0.0,15.999999999999998,8.7
2025-08-05,8L_W16_TWAY,0.9,0.9,5.4,6.300000000000001
2025-08-05,8L_W17_SL_1_WEST,0.0,1.6,0.0,13.700000000000001
2025-08-05,8L_W17_SL_2_WEST,1.6,1.5,25.600000000000005,22.100000000000005
2025-08-05,9L_E3_OREPASS,0.0,0.0,9.000000000000002,0.0
2025-08-05,9L_E3_WASTEPASS,0.0,0.0,9.000000000000002,0.0
2025-08-05,Venning Shaft Overrun,0.0,0.0,9.000000000000002,6.800000000000001
2025-08-06,10LW7_BOX_RSE,0.9,0.9,8.100000000000001,10.000000000000002
2025-08-06,10LW7_CDRIVE_EAST,0.0,0.0,6.4,1.6
2025-08-06,10L_E1_RAISE,0.9,1.6,14.400000000000004,8.600000000000001
2025-08-06,10L_E2_C_DRIVE,1.6,1.6,25.600000000000005,23.500000000000004
2025-08-06,10L_E2_RAISE,0.9,0.0,14.400000000000004,11.0
2025-08-06,10L_E3_OREPASS,0.9,0.9,12.600000000000003,10.600000000000003
2025-08-06,10L_E3_WASTEPAS,0.9,0.9,13.500000000000004,14.000000000000002
2025-08-06,10L_E7_DAM,1.3,1.1,11.700000000000001,14.8
2025-08-06,10L_W15_OREPASS,0.0,0.9,11.700000000000003,12.4
2025-08-06,10L_W15_WASTEPASS,0.9,0.0,9.000000000000002,8.4
2025-08-06,10L_W7B_BOX RSE,0.0,0.0,0.0,8.100000000000001
2025-08-06,10L_W8_RAISE,0.9,0.9,12.600000000000003,13.500000000000004
2025-08-06,3L_E9_HAULAGE_EAST,1.6,1.7,25.600000000000005,25.1
2025-08-06,3L_W28_SL_2_EAST,0.0,0.0,3.2,1.4
2025-08-06,3L_W29_RAISE,0.9,0.9,12.600000000000003,14.600000000000003
2025-08-06,4L_E13_HAULAGE,1.6,1.8,25.600000000000005,26.8
2025-08-06,4L_W29_HAULAGE,1.3,1.3,20.800000000000004,17.1
