Date,Source,METRIC1,METRIC2,Value
2025-08-01,Budget,Actual,Variance,1.0
2025-08-01,Lobe Shaft,Skips Hoisted,Budget Skips,111.42857142857143
2025-08-01,Southwell Shaft,Skips Hoisted,Budget Skips,164.44444444444446
2025-08-01,Tonnage Reconciliation,,Delivered vs Hoisted,-0.001277139208173691
2025-08-01,Trucking (HOWO),# of Loads,Southwell,29.0
2025-08-02,Budget,Actual,Variance,2.0
2025-08-02,Lobe Shaft,Skips Hoisted,Budget Skips,142.85714285714286
2025-08-02,Southwell Shaft,Skips Hoisted,Budget Skips,188.88888888888889
2025-08-02,Tonnage Reconciliation,,Delivered vs Hoisted,-0.025089605734767026
2025-08-02,Trucking (HOWO),# of Loads,Southwell,34.0
2025-08-03,Budget,Actual,Variance,3.0
2025-08-03,Lobe Shaft,Skips Hoisted,Budget Skips,142.85714285714286
2025-08-03,Southwell Shaft,Skips Hoisted,Budget Skips,188.88888888888889
2025-08-03,Tonnage Reconciliation,,Delivered vs Hoisted,-0.020496224379719527
2025-08-03,Trucking (HOWO),# of Loads,Southwell,32.0
2025-08-04,Budget,Actual,Variance,4.0
2025-08-04,Lobe Shaft,Skips Hoisted,Budget Skips,142.85714285714286
2025-08-04,Southwell Shaft,Skips Hoisted,Budget Skips,188.88888888888889
2025-08-04,Trucking (HOWO),# of Loads,Southwell,28.0
2025-08-05,Budget,Actual,Variance,5.0
2025-08-05,Lobe Shaft,Skips Hoisted,Budget Skips,142.85714285714286
2025-08-05,Southwell Shaft,Skips Hoisted,Budget Skips,188.88888888888889
2025-08-05,Tonnage Reconciliation,,Delivered vs Hoisted,0.039642657733109994
2025-08-05,Trucking (HOWO),# of Loads,Southwell,31.0
2025-08-06,Budget,Actual,Variance,6.0
2025-08-06,Lobe Shaft,Skips Hoisted,Budget Skips,142.85714285714286
2025-08-06,Southwell Shaft,Skips Hoisted,Budget Skips,188.88888888888889
2025-08-06,Tonnage Reconciliation,,Delivered vs Hoisted,-0.00972862263184844
2025-08-06,Trucking (HOWO),# of Loads,Southwell,32.0
2025-08-07,Budget,Actual,Variance,7.0
2025-08-07,Lobe Shaft,Skips Hoisted,Budget Skips,142.85714285714286
2025-08-07,Southwell Shaft,Skips Hoisted,Budget Skips,188.88888888888889
2025-08-07,Tonnage Reconciliation,,Delivered vs Hoisted,0.101994301994302
2025-08-07,Trucking (HOWO),# of Loads,Southwell,31.0
2025-08-08,Budget,Actual,Variance,8.0
2025-08-08,Lobe Shaft,Skips Hoisted,Budget Skips,111.42857142857143
2025-08-08,Southwell Shaft,Skips Hoisted,Budget Skips,164.44444444444446
