Date,ID,Stoping_Actual_t,Stoping_Actual_gpt,Stoping_Actual_kgs,Stoping_Budget_t,Stoping_Budget_gpt,Stoping_Budget_kgs
2025-08-01,3L_W23A STOPE,44.0,1.02,0.04488,35.0,1.9859813084112148,0.06950934579439251
2025-08-01,3L_W23B STOPE,124.0,1.95,0.2418,70.0,1.9859813084112148,0.13901869158878502
2025-08-01,4L_W26 STOPE,42.0,4.12,0.17304,70.0,1.9462616822429906,0.13623831775700931
2025-08-01,5L_W11 STOPE,35.0,1.46,0.0511,70.0,1.7476635514018692,0.12233644859813084
2025-08-01,5L_W8 STOPE,127.0,3.88,0.49276,105.0,1.8271028037383175,0.19184579439252333
2025-08-01,6L_E1 STOPE,60.0,1.71,0.1026,35.0,3.137850467289719,0.10982476635514017
2025-08-01,6L_W13 STOPE,,,,35.0,1.9859813084112148,0.06950934579439251
2025-08-01,6L_W15_STOPE,78.0,1.48,0.11544,70.0,1.7476635514018692,0.12233644859813084
2025-08-01,6L_W18_STOPE,37.0,1.16,0.04291999999999999,70.0,2.7803738317757007,0.19462616822429904
2025-08-01,6L_W2 STOPE,204.0,,1.4076000000000002,140.0,,0.3558878504672897
2025-08-01,6L_W3 STOPE,92.0,4.58,0.42136,105.0,2.3831775700934577,0.25023364485981303
2025-08-01,6L_W8 STOPE,83.0,2.39,0.19837,105.0,2.7803738317757007,0.2919392523364486
2025-08-02,3L_W23A STOPE,39.0,1.61,0.06279000000000001,35.0,1.9859813084112148,0.06950934579439251
2025-08-02,3L_W23B STOPE,114.0,1.41,0.16074,70.0,1.9859813084112148,0.13901869158878502
2025-08-02,4L_W26 STOPE,75.0,2.52,0.189,70.0,1.9462616822429906,0.13623831775700931
2025-08-02,5L_W11 STOPE,66.0,4.54,0.29963999999999996,70.0,1.7476635514018692,0.12233644859813084
2025-08-02,5L_W8 STOPE,122.0,4.35,0.5307,105.0,1.8271028037383175,0.19184579439252333
2025-08-02,6L_E1 STOPE,63.0,3.57,0.22491,35.0,3.137850467289719,0.10982476635514017
2025-08-02,6L_W13 STOPE,,,,35.0,1.9859813084112148,0.06950934579439251
2025-08-02,6L_W15_STOPE,88.0,1.58,0.13904000000000002,70.0,1.7476635514018692,0.12233644859813084
2025-08-02,6L_W18_STOPE,70.0,1.53,0.10710000000000001,70.0,2.7803738317757007,0.19462616822429904
2025-08-02,6L_W2 STOPE,155.0,,0.9238,140.0,,0.3558878504672897
2025-08-02,6L_W3 STOPE,87.0,3.33,0.28970999999999997,105.0,2.3831775700934577,0.25023364485981303
2025-08-02,6L_W8 STOPE,,1.27,,105.0,2.7803738317757007,0.2919392523364486
2025-08-03,3L_W23A STOPE,40.0,1.61,0.0644,35.0,1.9859813084112148,0.06950934579439251
2025-08-03,3L_W23B STOPE,114.0,1.41,0.16074,70.0,1.9859813084112148,0.13901869158878502
2025-08-03,4L_W26 STOPE,76.0,2.52,0.19152000000000002,70.0,1.9462616822429906,0.13623831775700931
2025-08-03,5L_W11 STOPE,72.0,4.54,0.32688,70.0,1.7476635514018692,0.12233644859813084
2025-08-03,5L_W8 STOPE,108.0,4.35,0.46979999999999994,105.0,1.8271028037383175,0.19184579439252333
2025-08-03,6L_E1 STOPE,,,,35.0,3.137850467289719,0.10982476635514017
2025-08-03,6L_W13 STOPE,,,,35.0,1.9859813084112148,0.06950934579439251
2025-08-03,6L_W15_STOPE,82.0,1.58,0.12956,70.0,1.7476635514018692,0.12233644859813084
2025-08-03,6L_W18_STOPE,53.0,1.53,0.08109000000000001,70.0,2.7803738317757007,0.19462616822429904
2025-08-03,6L_W2 STOPE,165.0,,0.9833999999999999,140.0,,0.3558878504672897
2025-08-03,6L_W3 STOPE,60.0,3.33,0.1998,105.0,2.3831775700934577,0.25023364485981303
2025-08-03,6L_W8 STOPE,195.0,1.27,0.24765,105.0,2.7803738317757007,0.2919392523364486
2025-08-04,3L_W23A STOPE,39.0,1.36,0.053040000000000004,35.0,1.9859813084112148,0.06950934579439251
2025-08-04,3L_W23B STOPE,119.0,3.37,0.40103000000000005,70.0,1.9859813084112148,0.13901869158878502
2025-08-04,4L_W26 STOPE,71.0,3.38,0.23998,70.0,1.9462616822429906,0.13623831775700931
2025-08-04,5L_W11 STOPE,70.0,2.98,0.2086,70.0,1.7476635514018692,0.12233644859813084
2025-08-04,5L_W8 STOPE,106.0,1.39,0.14734,105.0,1.8271028037383175,0.19184579439252333
2025-08-04,6L_E1 STOPE,75.0,5.71,0.42825,35.0,3.137850467289719,0.10982476635514017
2025-08-04,6L_W13 STOPE,51.0,7.0,0.357,35.0,1.9859813084112148,0.06950934579439251
