Date,ID,Tramming_Actual_t,Tramming_Actual_gpt,Tramming_Actual_kgs,Tramming_Budget_t,Tramming_Budget_gpt,Tramming_Budget_kgs
2025-08-01,3L_W23A STOPE,,,0.0,35.0,1.9859813084112148,0.06950934579439251
2025-08-01,3L_W23B STOPE,,,0.0,70.0,1.9859813084112148,0.13901869158878502
2025-08-01,3L_W24B STOPE,,,0.0,0.0,0.0,0.0
2025-08-01,4L_W26 STOPE,216.0,1.94,0.41903999999999997,70.0,1.9462616822429906,0.13623831775700931
2025-08-01,5L_W11 STOPE,50.0,2.29,0.1145,70.0,1.7476635514018692,0.0
2025-08-01,5L_W8 STOPE,144.0,2.29,0.32976,105.0,1.8271028037383175,0.0
2025-08-01,6L_E1 STOPE,,,0.0,35.0,3.137850467289719,0.10982476635514017
2025-08-01,6L_W1 STOPE,,,0.0,0.0,0.0,0.0
2025-08-01,6L_W13 STOPE,,,0.0,35.0,1.9859813084112148,0.06950934579439251
2025-08-01,6L_W15_STOPE,37.5,2.61,0.097875,70.0,1.7476635514018692,0.12233644859813084
2025-08-01,6L_W18_STOPE,30.0,1.84,0.055200000000000006,70.0,2.7803738317757007,0.19462616822429904
2025-08-01,6L_W2 STOPE,166.5,2.53,0.4212449999999999,140.0,2.542056074766355,0.3558878504672897
2025-08-01,6L_W3 STOPE,114.0,2.64,0.30096000000000006,105.0,2.3831775700934577,0.25023364485981303
2025-08-01,6L_W4 STOPE,,,0.0,0.0,0.0,0.0
2025-08-01,6L_W8 STOPE,,,0.0,105.0,2.7803738317757007,0.2919392523364486
2025-08-02,3L_W23A STOPE,,,0.0,35.0,1.9859813084112148,0.06950934579439251
2025-08-02,3L_W23B STOPE,,,0.0,70.0,1.9859813084112148,0.13901869158878502
2025-08-02,3L_W24B STOPE,,,0.0,0.0,0.0,0.0
2025-08-02,4L_W26 STOPE,228.0,1.47,0.33515999999999996,70.0,1.9462616822429906,0.13623831775700931
2025-08-02,5L_W11 STOPE,76.0,0.84,0.06384,70.0,1.7476635514018692,0.12233644859813084
2025-08-02,5L_W8 STOPE,114.0,2.28,0.25992,105.0,1.8271028037383175,0.19184579439252333
2025-08-02,6L_E1 STOPE,45.0,3.41,0.15345000000000003,35.0,3.137850467289719,0.10982476635514017
2025-08-02,6L_W1 STOPE,,,0.0,0.0,0.0,0.0
2025-08-02,6L_W13 STOPE,,,0.0,35.0,1.9859813084112148,0.06950934579439251
2025-08-02,6L_W15_STOPE,37.5,1.59,0.059625,70.0,1.7476635514018692,0.12233644859813084
2025-08-02,6L_W18_STOPE,49.5,2.86,0.14157,70.0,2.7803738317757007,0.19462616822429904
2025-08-02,6L_W2 STOPE,279.0,7.0,1.953,140.0,2.542056074766355,0.3558878504672897
2025-08-02,6L_W3 STOPE,177.0,2.29,0.40532999999999997,105.0,2.3831775700934577,0.25023364485981303
2025-08-02,6L_W4 STOPE,,,0.0,0.0,0.0,0.0
2025-08-02,6L_W8 STOPE,,,0.0,105.0,2.7803738317757007,0.2919392523364486
2025-08-03,3L_W23A STOPE,,,0.0,35.0,1.9859813084112148,0.06950934579439251
2025-08-03,3L_W23B STOPE,,,0.0,70.0,1.9859813084112148,0.13901869158878502
